GLAID,Borough,Priority,Empty,Bedroom
597,Bromley,3,1 to 3 years,3B
598,Bromley,2,1 to 3 years,2B
599,Bromley,3,1 to 3 years,5B+
600,Bromley,2,1 to 3 years,3B
601,Bromley,3,1 to 3 years,3B
602,Bromley,2,3 to 5 years,2B
603,Bromley,3,1 to 3 years,4B
604,Bromley,4,Over 5 years,3B
607,Bromley,2,1 to 3 years,4B
608,Bromley,2,1 to 3 years,3B
609,Bromley,4,3 to 5 years,3B
610,Bromley,3,1 to 3 years,2B
613,Bromley,2,1 to 3 years,2B
615,Bromley,2,1 to 3 years,5B+
616,Bromley,2,1 to 3 years,2B
618,Bromley,5,Over 5 years,3B
619,Bromley,3,1 to 3 years,3B
620,Bromley,5,Over 5 years,3B
621,Bromley,3,1 to 3 years,2B
622,Bromley,3,Over 5 years,1B
623,Bromley,4,1 to 3 years,5B+
624,Bromley,3,1 to 3 years,5B+
625,Bromley,2,1 to 3 years,2B
626,Bromley,2,1 to 3 years,2B
627,Bromley,2,1 to 3 years,4B
628,Bromley,1,1 to 3 years,4B
629,Bromley,4,Over 5 years,3B
630,Bromley,2,1 to 3 years,3B
631,Bromley,3,1 to 3 years,1B
632,Bromley,2,1 to 3 years,3B
633,Bromley,2,1 to 3 years,4B
636,Bromley,3,1 to 3 years,1B
637,Bromley,2,3 to 5 years,2B
638,Bromley,3,Over 5 years,3B
639,Bromley,3,Over 5 years,3B
640,Bromley,3,Over 5 years,2B
641,Bromley,2,1 to 3 years,2B
642,Bromley,5,Over 5 years,3B
643,Bromley,4,Over 5 years,2B
644,Bromley,3,1 to 3 years,3B
647,Bromley,2,1 to 3 years,3B
648,Bromley,2,1 to 3 years,3B
649,Bromley,3,Over 5 years,2B
650,Bromley,4,Over 5 years,2B
651,Bromley,3,1 to 3 years,1B
657,Bromley,2,1 to 3 years,2B
658,Bromley,2,1 to 3 years,5B+
659,Bromley,2,1 to 3 years,2B
660,Bromley,2,1 to 3 years,1B
662,Bromley,2,1 to 3 years,2B
664,Bromley,3,1 to 3 years,2B
665,Bromley,2,1 to 3 years,2B
666,Bromley,2,1 to 3 years,2B
667,Bromley,4,1 to 3 years,2B
668,Bromley,4,1 to 3 years,4B
669,Bromley,4,3 to 5 years,2B
671,Bromley,2,1 to 3 years,1B
672,Bromley,1,1 to 3 years,Studio
673,Bromley,2,1 to 3 years,2B
674,Bromley,3,Over 5 years,2B
675,Bromley,3,3 to 5 years,2B
676,Bromley,2,1 to 3 years,2B
677,Bromley,2,1 to 3 years,2B
678,Bromley,2,1 to 3 years,2B
680,Bromley,1,1 to 3 years,2B
681,Bromley,3,3 to 5 years,2B
682,Bromley,3,1 to 3 years,3B
683,Bromley,2,3 to 5 years,2B
684,Bromley,5,Over 5 years,2B
685,Bromley,4,1 to 3 years,2B
686,Bromley,3,1 to 3 years,2B
687,Bromley,2,1 to 3 years,2B
689,Bromley,2,1 to 3 years,3B
690,Bromley,1,1 to 3 years,2B
691,Bromley,2,1 to 3 years,3B
692,Bromley,3,1 to 3 years,3B
693,Bromley,1,1 to 3 years,2B
699,Bromley,5,1 to 3 years,3B
702,Bromley,2,1 to 3 years,3B
703,Bromley,2,1 to 3 years,3B
704,Bromley,1,1 to 3 years,3B
706,Bromley,1,1 to 3 years,3B
707,Bromley,2,1 to 3 years,3B
708,Bromley,4,Over 5 years,3B
709,Bromley,2,1 to 3 years,1B
710,Bromley,5,Over 5 years,3B
711,Bromley,1,1 to 3 years,3B
713,Bromley,2,1 to 3 years,3B
714,Bromley,3,1 to 3 years,3B
717,Bromley,1,1 to 3 years,2B
720,Bromley,5,Over 5 years,5B+
724,Bromley,2,1 to 3 years,2B
725,Bromley,2,1 to 3 years,1B
726,Bromley,1,1 to 3 years,1B
